46.1366	0
47.9857	-1.53153
49.8367	-0.689018
51.6851	-7.44606
53.5353	-11.8291
55.383	-8.60837
57.2303	-12.989
59.0794	-13.5703
60.926	-6.07275
62.7744	-13.78
64.6202	-14.3586
66.4657	-15.8871
68.313	-19.3175
70.1578	-19.4201
72.0022	-19.5224
73.8484	-22.9518
75.6921	-21.1531
77.5354	-20.7794
79.3805	-25.6333
81.2231	-24.3088
83.0654	-29.6354
84.9094	-29.2623
86.7509	-32.6879
88.592	-32.3124
90.4349	-30.0379
92.2754	-32.9875
94.1154	-35.9368
95.9551	-34.6099
97.7966	-32.8094
99.6356	-40.9839
101.474	-41.5565
103.312	-43.079
105.152	-39.8519
106.99	-36.6228
108.827	-42.4203
110.664	-46.7923
112.503	-46.4146
114.339	-45.0847
116.174	-47.0802
118.01	-46.2248
119.845	-47.7446
121.681	-53.0667
123.516	-46.0341
125.35	-51.8289
127.183	-54.2977
129.016	-54.3907
130.849	-54.9585
132.682	-56.0012
134.516	-50.8689
136.348	-51.9109
138.179	-55.8033
140.01	-49.7182
141.841	-43.6327
143.671	-37.0719
145.501	-62.4515
147.331	-108.599
149.162	-121.076
150.991	-112.087
152.82	-82.6553
154.648	0
156.475	-607.786
158.303	-1113.26
160.13	-1431.4
161.957	-1616.35
163.783	-1431.5
165.609	-1030.81
167.435	-252.718
169.26	722.22
171.085	1708.71
172.91	2415.06
174.734	2747.19
176.558	2588.22
178.381	2095.88
180.204	1403.21
182.027	561.513
183.85	-26.6391
185.672	137.837
187.493	133.172
189.315	147.508
191.136	220.752
192.957	246.481
194.777	409.035
196.597	520.275
198.416	536.964
200.233	539.846
202.052	509.016
203.871	696.255
205.689	603.178
207.507	684.935
209.324	490.178
211.141	571.926
212.958	505.439
214.775	591.93
216.588	456.043
218.404	456.057
220.219	451.315
222.034	415.213
223.849	445.621
225.663	388.606
227.475	387.622
229.289	295.44
231.102	245.064
232.915	356.217
234.727	179.455
236.537	76.7782
238.349	310.495
240.16	147.023
241.972	121.325
243.78	42.3871
245.591	196.745
247.401	133.502
249.21	19.4189
251.017	69.6915
252.826	-61.5034
254.635	61.5573
256.443	148.586
258.249	104.449
260.057	221.398
261.864	237.622
263.669	321.27
265.475	444.854
267.281	458.685
269.085	576.998
270.89	690.114
272.695	810.826
274.498	976.158
276.302	1010.39
278.106	1214.23
279.908	1229.89
281.711	1350.57
283.512	1526.8
285.315	1638.45
287.117	1671.22
